epochs,l-rate,decayRate,biasWeight,lotAreaWeight,YearBuiltWeight,GrLivAreaWeight,OverallQualWeight,OverallCondWeight,medianError,averageError,"largestError, MSError",
40,1.00E-07,1.00E-13,-45808.71419,41859.04756,83544.82135,196506.9311,192379.0314,1288.882602,18342.44282,26416.67519,340890.4938,806493661.9
50,1.00E-07,1.00E-11,-45809.52324,41859.74832,83544.84664,196509.024,192380.5862,1289.437897,18342.7906,26416.80862,340887.3002,806488001.8
50,1.00E-07,1.00E-12,-45809.52324,41859.74832,83544.84664,196509.024,192380.5862,1289.437897,18342.7906,26416.80862,340887.3002,806488001.8
50,1.00E-07,0,-45809.52324,41859.74832,83544.84664,196509.024,192380.5862,1289.437897,18342.7906,26416.80862,340887.3002,806488001.8
50,1.00E-07,1.00E-13,-45809.52324,41859.74832,83544.84664,196509.024,192380.5862,1289.437897,18342.7906,26416.80862,340887.3002,806488001.8
70,1.00E-07,1.00E-11,-45811.14585,41861.14963,83544.89382,196513.2084,192383.6932,1290.545893,18343.47828,26417.07371,340880.9264,806476689
70,1.00E-07,1.00E-12,-45811.14585,41861.14963,83544.89382,196513.2084,192383.6932,1290.545893,18343.47828,26417.07371,340880.9264,806476689
70,1.00E-07,1.00E-13,-45811.14585,41861.14963,83544.89382,196513.2084,192383.6932,1290.545893,18343.47828,26417.07371,340880.9264,806476689
70,1.00E-07,0,-45811.14585,41861.14963,83544.89382,196513.2084,192383.6932,1290.545893,18343.47828,26417.07371,340880.9264,806476689
100,1.00E-07,1.00E-11,-45813.59092,41863.25106,83544.95618,196519.4813,192388.3466,1292.201446,18344.49024,26417.46692,340871.3989,806459738.5
100,1.00E-07,1.00E-12,-45813.59092,41863.25106,83544.95618,196519.4813,192388.3466,1292.201446,18344.49024,26417.46692,340871.3989,806459738.5
100,1.00E-07,0,-45813.59092,41863.25106,83544.95618,196519.4813,192388.3466,1292.201446,18344.49024,26417.46692,340871.3989,806459738.5
100,1.00E-07,1.00E-13,-45813.59092,41863.25106,83544.95618,196519.4813,192388.3466,1292.201446,18344.49024,26417.46692,340871.3989,806459738.5
40,1.00E-06,1.00E-11,-45838.72662,41884.23238,83545.06326,196581.9817,192434.4522,1308.361939,18353.40954,26421.15975,340778.1635,806291366.7
40,1.00E-06,1.00E-12,-45838.72662,41884.23238,83545.06326,196581.9817,192434.4522,1308.361939,18353.40954,26421.15975,340778.1635,806291366.7
40,1.00E-06,0,-45838.72662,41884.23238,83545.06326,196581.9817,192434.4522,1308.361939,18353.40954,26421.15975,340778.1635,806291366.7
40,1.00E-06,1.00E-13,-45838.72662,41884.23238,83545.06326,196581.9817,192434.4522,1308.361939,18353.40954,26421.15975,340778.1635,806291366.7
40,1.00E-05,0,-46206.98149,42132.64913,83495.57792,197308.4185,192944.5878,1463.72099,18353.64339,26439.01254,339861.0605,804360500.8
40,1.00E-05,1.00E-13,-46206.98149,42132.64913,83495.57792,197308.4185,192944.5878,1463.72099,18353.64339,26439.01254,339861.0605,804360500.8
40,1.00E-05,1.00E-12,-46206.98149,42132.64913,83495.57792,197308.4185,192944.5878,1463.72099,18353.64339,26439.01254,339861.0605,804360500.8
40,1.00E-05,1.00E-11,-46206.98149,42132.64913,83495.57792,197308.4185,192944.5878,1463.72099,18353.64339,26439.01254,339861.0605,804360500.8
50,1.00E-06,1.00E-11,-45847.38109,41891.21281,83544.89065,196602.7226,192449.6475,1313.589582,18355.89872,26422.28681,340747.9081,806235674.1
50,1.00E-06,1.00E-12,-45847.38109,41891.21281,83544.89065,196602.7226,192449.6475,1313.589582,18355.89872,26422.28681,340747.9081,806235674.1
50,1.00E-06,0,-45847.38109,41891.21281,83544.89065,196602.7226,192449.6475,1313.589582,18355.89872,26422.28681,340747.9081,806235674.1
50,1.00E-06,1.00E-13,-45847.38109,41891.21281,83544.89065,196602.7226,192449.6475,1313.589582,18355.89872,26422.28681,340747.9081,806235674.1
70,1.00E-06,1.00E-11,-45865.07349,41905.155,83544.25545,196644.0745,192479.7961,1323.82349,18360.2036,26424.3872,340688.544,806124863.4
70,1.00E-06,1.00E-12,-45865.07349,41905.155,83544.25545,196644.0745,192479.7961,1323.82349,18360.2036,26424.3872,340688.544,806124863.4
70,1.00E-06,0,-45865.07349,41905.155,83544.25545,196644.0745,192479.7961,1323.82349,18360.2036,26424.3872,340688.544,806124863.4
70,1.00E-06,1.00E-13,-45865.07349,41905.155,83544.25545,196644.0745,192479.7961,1323.82349,18360.2036,26424.3872,340688.544,806124863.4
100,1.00E-06,1.00E-11,-45892.50799,41926.02431,83542.62398,196705.7959,192524.4502,1338.65684,18365.08529,26427.17803,340602.1849,805959932.4
100,1.00E-06,1.00E-12,-45892.50799,41926.02431,83542.62398,196705.7959,192524.4502,1338.65684,18365.08529,26427.17803,340602.1849,805959932.4
100,1.00E-06,0,-45892.50799,41926.02431,83542.62398,196705.7959,192524.4502,1338.65684,18365.08529,26427.17803,340602.1849,805959932.4
100,1.00E-06,1.00E-13,-45892.50799,41926.02431,83542.62398,196705.7959,192524.4502,1338.65684,18365.08529,26427.17803,340602.1849,805959932.4
50,1.00E-05,1.00E-11,-46322.2654,42200.93134,83471.70506,197505.0178,193077.2466,1499.294591,18381.95732,26438.63661,339647.0938,803839060.2
50,1.00E-05,1.00E-12,-46322.2654,42200.93134,83471.70506,197505.0178,193077.2466,1499.294591,18381.95732,26438.63661,339647.0938,803839060.2
