epochs,l-rate,decayRate,biasWeight,lotAreaWeight,YearBuiltWeight,GrLivAreaWeight,OverallQualWeight,OverallCondWeight,medianError,averageError,largestError,MSError
40,1e-09,1e-12,-45805.52518653198,41856.271832913146,83544.71001979944,196498.63809972783,192372.86486891098,1286.6750735206458,18341.039611818574,26416.14091009926,340903.18461949186,806516101.2952379
40,1e-09,1e-11,-45805.5251865238,41856.27183290621,83544.71001980346,196498.63809970804,192372.8648688963,1286.6750735148212,18341.03961181709,26416.14091009865,340903.1846195182,806516101.2952918
50,0.0001,0,-51658.5118194959,45198.98957507621,82065.06081734391,205705.14366929117,198319.65679578146,2942.181763286266,18741.003939690272,26264.345329906908,331915.75739708135,783054900.6800383
50,0.0001,1e-13,-51658.511798917374,45198.989563191644,82065.06082308838,205705.14363805548,198319.65677637453,2942.181757139401,18741.003941119852,26264.345330525946,331915.7574258262,783054900.7547656
50,0.0001,1e-12,-51658.51161374449,45198.98945624372,82065.06087476849,205705.143357044,198319.65660173693,2942.181701829131,18741.003953989915,26264.34533609666,331915.7576844432,783054901.42712
50,0.0001,1e-11,-51658.50976207692,45198.98838679131,82065.06139154485,205705.14054699626,198319.65485544162,2942.1811487338778,18741.00408268292,26264.34539180119,331915.7602705437,783054908.150469
50,1e-05,0,-46325.12037611586,42200.80947011472,83469.4946662415,197504.07343636625,193075.476725675,1497.653467499322,18388.309982546314,26437.470517980208,339655.61799235945,803839719.6569244
50,1e-05,1e-13,-46325.120373968486,42200.809468877786,83469.49466671713,197504.0734328075,193075.47672329395,1497.6534668759894,18388.309981678554,26437.470518007707,339655.6179961005,803839719.6663822
50,1e-05,1e-12,-46325.12035463418,42200.80945773943,83469.49467100321,197504.07340074072,193075.47670186605,1497.653461261404,18388.30997386358,26437.47051825532,339655.6180297955,803839719.751551
50,1e-05,1e-11,-46325.12016131474,42200.80934636548,83469.49471386157,197504.0730801278,193075.47648758808,1497.6534051184394,18388.309895730243,26437.47052072924,339655.618366716,803839720.6031593
50,1e-06,0,-45847.454429585305,41891.20967239265,83544.83552669204,196602.70011003615,192449.6038959005,1313.5475163231115,18355.771492777087,26422.25782952246,340748.12193717784,806235723.1015117
50,1e-06,1e-13,-45847.45442942388,41891.209672266086,83544.83552669937,196602.70010965536,192449.60389562332,1313.5475162294888,18355.77149273688,26422.257829503145,340748.12193772366,806235723.1025308
50,1e-06,1e-12,-45847.45442797483,41891.2096711262,83544.8355267533,196602.7001062612,192449.60389315366,1313.5475153861094,18355.771492381537,26422.257829330694,340748.1219425946,806235723.1116331
50,1e-06,1e-11,-45847.45441348797,41891.20965972773,83544.8355272888,196602.7000723444,192449.6038684354,1313.5475069524732,18355.771488820625,26422.25782760369,340748.1219913083,806235723.2026466
50,1e-07,0,-45809.524058245006,41859.74828729069,83544.84602228961,196509.02375429843,192380.58575787515,1289.437428345242,18342.7891799551,26416.808302471938,340887.3026215791,806488002.3867188
50,1e-07,1e-13,-45809.52405822864,41859.74828727856,83544.84602229002,196509.02375426097,192380.58575784476,1289.4374283351785,18342.78917995018,26416.80830246975,340887.30262163613,806488002.3868234
50,1e-07,1e-12,-45809.52405809488,41859.748287163326,83544.84602228575,196509.02375391353,192380.58575759418,1289.4374282448625,18342.789179895117,26416.80830244835,340887.30262215814,806488002.3877532
50,1e-07,1e-11,-45809.524056750415,41859.74828601968,83544.84602226182,196509.02375048728,192380.58575505606,1289.4374273416042,18342.78917935655,26416.80830223701,340887.30262733955,806488002.3970181
50,1e-08,0,-45805.89444307707,41856.59432254845,83544.72384291021,196499.6018155855,192373.58191814992,1286.9321856742322,18341.204681692965,26416.203441002293,340901.7069212931,806513492.6626316
50,1e-08,1e-13,-45805.89444307501,41856.59432254728,83544.72384290965,196499.6018155824,192373.58191814783,1286.9321856732267,18341.20468169311,26416.203441002148,340901.7069212974,806513492.6626402
50,1e-08,1e-12,-45805.89444306163,41856.59432253537,83544.72384290841,196499.60181555027,192373.5819181206,1286.9321856641288,18341.204681687057,26416.203440999794,340901.70692135004,806513492.6627316
50,1e-08,1e-11,-45805.89444292896,41856.594322421,83544.72384290656,196499.60181520568,192373.5819178641,1286.9321855731614,18341.204681630115,26416.20344097801,340901.7069218745,806513492.6636652
50,1e-09,0,-45805.533210329944,41856.278843725166,83544.71032295164,196498.6590512394,192372.88045912812,1286.680664944298,18341.043206453498,26416.142270859207,340903.1524851612,806516044.5799199
50,1e-09,1e-13,-45805.53321032973,41856.278843725006,83544.71032295171,196498.65905123885,192372.88045912783,1286.6806649441621,18341.043206453483,26416.142270859204,340903.15248516185,806516044.5799221
50,1e-09,1e-12,-45805.5332103286,41856.27884372404,83544.71032295091,196498.65905123547,192372.88045912495,1286.6806649432556,18341.043206452377,26416.142270858796,340903.15248516825,806516044.5799304
50,1e-09,1e-11,-45805.53321031552,41856.278843713386,83544.71032295487,196498.6590512043,192372.88045910085,1286.6806649341315,18341.043206449074,26416.14227085742,340903.1524852124,806516044.5800157
70,0.0001,0,-53839.02359478392,46497.967104535215,81465.67574624834,209049.17383730164,200386.63040780777,3640.441983144022,18806.052826538333,26206.82453486134,328785.0615900116,775256823.662155
70,0.0001,1e-13,-53839.02355651833,46497.96708156747,81465.67575705404,209049.1737791791,200386.6303723963,3640.44197055335,18806.052829207794,26206.82453590922,328785.06164352346,775256823.7944828
70,0.0001,1e-12,-53839.02321218846,46497.96687488061,81465.6758542804,209049.17325621046,200386.63005374165,3640.4418572538502,18806.052853231522,26206.824545339216,328785.06212502223,775256824.9851928
70,0.0001,1e-11,-53839.01976899444,46497.96480807968,81465.67682650751,209049.16802668633,200386.62686731265,3640.440724285326,18806.053093454713,26206.824639636263,328785.06693985075,775256836.8919239
70,1e-05,0,-46562.90598836189,42336.853495370066,83415.68253392285,197893.29812877884,193334.60285807194,1564.4743759036332,18444.11617751763,26433.455815666697,339253.0308973598,802807113.4887036
70,1e-05,1e-13,-46562.905984035286,42336.85349295244,83415.68253495611,197893.29812188054,193334.60285351856,1564.4743747561574,18444.116177900592,26433.45581577602,339253.03090425074,802807113.507015
70,1e-05,1e-12,-46562.90594507257,42336.85347119114,83415.68254427509,197893.29805972858,193334.60281254203,1564.4743644192624,18444.116181351303,26433.455816763995,339253.03096629586,802807113.6719384
70,1e-05,1e-11,-46562.905555480735,42336.853253585236,83415.68263745788,197893.2974382883,193334.6024027698,1564.4742610584894,18444.11621584816,26433.455826639332,339253.03158671386,802807115.3210346
70,1e-06,0,-45865.171385704125,41905.150813242115,83544.18179930557,196644.04443413796,192479.73779242192,1323.7673386643214,18360.033718137405,26424.34850175482,340688.8297349184,806124924.94375
70,1e-06,1e-13,-45865.17138537986,41905.15081299535,83544.18179932305,196644.04443339948,192479.73779188652,1323.7673384855445,18360.033718073537,26424.348501720204,340688.8297359592,806124924.9457256
70,1e-06,1e-12,-45865.171382469285,41905.15081076249,83544.18179948203,196644.04442677,192479.7377870881,1323.7673368749106,18360.033717500395,26424.348501410255,340688.8297452977,806124924.9634614
70,1e-06,1e-11,-45865.171353366924,41905.15078843602,83544.18180104933,196644.04436052934,192479.7377390755,1323.7673207689602,18360.033711758966,26424.348498306437,340688.8298386821,806124925.1407686
70,1e-07,0,-45811.14698379052,41861.14958171581,83544.89296837765,196513.20804563834,192383.69248728905,1290.5452403023405,18343.47630515677,26417.073264208735,340880.92973952973,806476689.8363749
70,1e-07,1e-13,-45811.14698376004,41861.149581691745,83544.89296837807,196513.20804556302,192383.6924872323,1290.545240282636,18343.47630514596,26417.073264204293,340880.92973964266,806476689.8365785
70,1e-07,1e-12,-45811.14698349705,41861.149581466096,83544.89296837046,196513.2080448881,192383.69248673948,1290.5452401058128,18343.476305039818,26417.073264162776,340880.92974065995,806476689.8383946
70,1e-07,1e-11,-45811.146980860125,41861.14957922159,83544.89296832216,196513.20803817397,192383.69248176354,1290.5452383372158,18343.47630398594,26417.073263748647,340880.9297508141,806476689.8565453
70,1e-08,0,-45806.05508986132,41856.73453062691,83544.72977729065,196500.02078923595,192373.8936160986,1287.043915649016,18341.276275329394,26416.2305885871,340901.0647423738,806512358.6454793
70,1e-08,1e-13,-45806.05508985784,41856.73453062454,83544.72977728983,196500.02078922876,192373.8936160967,1287.0439156470409,18341.276275329772,26416.23058858696,340901.0647423813,806512358.6454949
70,1e-08,1e-12,-45806.05508983158,41856.73453060187,83544.72977728685,196500.0207891637,192373.89361604242,1287.0439156291854,18341.276275317083,26416.230588582086,340901.06474248786,806512358.6456803
70,1e-08,1e-11,-45806.055089572874,41856.734530376496,83544.72977728097,196500.02078848993,192373.89361554215,1287.0439154505286,18341.276275204305,26416.23058853921,340901.0647435152,806512358.647503
70,1e-09,0,-45805.549258381885,41856.29286532637,83544.71092891594,196498.70095409322,192372.91163927026,1286.6918475263092,18341.050394919046,26416.14499219758,340903.08821787953,806515931.1500965
70,1e-09,1e-13,-45805.549258381376,41856.292865326126,83544.71092891623,196498.70095409258,192372.91163926932,1286.6918475260682,18341.05039491912,26416.144992197558,340903.0882178804,806515931.1500986
